%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@H1config.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
2.0222888  0.6941112  1369330000  -0.74613380  -0.15489699
2.0222888  0.6941112  1369344400  -0.24840966   0.96103466
2.0222888  0.6941112  1369358800   0.67893398   0.20321441
2.0222888  0.6941112  1369373200  -0.12807192  -0.49240226
2.0222888  0.6941112  1369387600  -0.11979364  -0.05429724
2.0222888  0.6941112  1369402000   0.17161176  -0.47326359
2.0222888  0.6941112  1369416400  -0.75629878  -0.13480785
2.0222888  0.6941112  1369430800  -0.22557789   0.96616101
2.0222888  0.6941112  1369445200   0.67726874   0.18110880
2.0222888  0.6941112  1369459600  -0.14188090  -0.48885775
2.0222888  0.6941112  1369474000  -0.10810786  -0.05251927
2.0222888  0.6941112  1369488400   0.16237170  -0.48161167
2.0222888  0.6941112  1369502800  -0.76592171  -0.11440192
2.0222888  0.6941112  1369517200  -0.20260628   0.97059834
2.0222888  0.6941112  1369531600   0.67495322   0.15908062
2.0222888  0.6941112  1369546000  -0.15532416  -0.48489752
2.0222888  0.6941112  1369560400  -0.09632379  -0.05113175
2.0222888  0.6941112  1369574800   0.15263465  -0.48967844
2.0222888  0.6941112  1369589200  -0.77498281  -0.09369253
2.0222888  0.6941112  1369603600  -0.17951509   0.97433871
2.0222888  0.6941112  1369618000   0.67199349   0.13715075
2.0222888  0.6941112  1369632400  -0.16838829  -0.48053333
2.0222888  0.6941112  1369646800  -0.08446075  -0.05013745
2.0222888  0.6941112  1369661200   0.14240995  -0.49744987
2.0222888  0.6941112  1369675600  -0.78347695  -0.07270075
2.0222888  0.6941112  1369690000  -0.15632743   0.97737616
2.0222888  0.6941112  1369704400   0.66838992   0.11533807
2.0222888  0.6941112  1369718800  -0.18105909  -0.47577769
2.0222888  0.6941112  1369733200  -0.07253733  -0.04953855
2.0222888  0.6941112  1369747600   0.13170680  -0.50491011
2.0222888  0.6941112  1369762000  -0.79139221  -0.05144300
2.0222888  0.6941112  1369776400  -0.13306591   0.97971481
2.0222888  0.6941112  1369790800   0.66415370   0.09366320
2.0222888  0.6941112  1369805200  -0.19332007  -0.47063822
2.0222888  0.6941112  1369819600  -0.06057264  -0.04933790
2.0222888  0.6941112  1369834000   0.12053445  -0.51204455
2.0222888  0.6941112  1369848400  -0.79871738  -0.02993804
2.0222888  0.6941112  1369862800  -0.10975376   0.98135269
2.0222888  0.6941112  1369877200   0.65929508   0.07214417
5.9885083  -1.0447238  1368970000   0.01913648  -0.29171479
5.9885083  -1.0447238  1368984400   0.25573564   0.52739310
5.9885083  -1.0447238  1368998800  -0.85713071   0.11857881
5.9885083  -1.0447238  1369013200   0.00998946  -0.96634614
5.9885083  -1.0447238  1369027600   0.74622202   0.18024726
5.9885083  -1.0447238  1369042000  -0.34764379   0.42977560
5.9885083  -1.0447238  1369056400   0.03596815  -0.28995791
5.9885083  -1.0447238  1369070800   0.24069145   0.54031187
5.9885083  -1.0447238  1369085200  -0.86404556   0.09384970
5.9885083  -1.0447238  1369099600   0.03683968  -0.96452081
5.9885083  -1.0447238  1369114000   0.73609221   0.20288178
5.9885083  -1.0447238  1369128400  -0.35906291   0.41507119
5.9885083  -1.0447238  1369142800   0.05273033  -0.28755811
