%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@H1config.txt'
%% columns:
%% Alpha   Delta        A_H1         B_H1         C_H1         D_H1
1.8751790  0.0121272   0.07771370   0.22475302  -0.00334539   0.01745520
4.5281007  0.5789627   0.16188611   0.22969484   0.00172538   0.03718143
2.3268987  0.6244029   0.17950615   0.24285649  -0.00019304   0.04359420
5.4323114  0.7516264   0.19801037   0.24086519   0.00351453   0.04768145
1.9740664  -0.1031742   0.08043750   0.22465311  -0.00381950   0.01805595
0.7424138  -0.8075203   0.21258289   0.24041799   0.00129113   0.05110708
2.2817750  0.5067729   0.15246245   0.23873256  -0.00096005   0.03639683
2.9786978  0.1958678   0.09072118   0.23178826  -0.00261922   0.02102124
6.0928389  0.8646328   0.21886882   0.25192881  -0.00056489   0.05513904
4.7421545  0.4809009   0.13963734   0.22689116   0.00259622   0.03167574
1.2094586  0.5226674   0.15566431   0.23992591   0.00043348   0.03734771
5.8567803  -0.0102056   0.07746302   0.22998485   0.00288896   0.01780698
0.4560773  0.3109056   0.11107296   0.23179598   0.00002009   0.02574626
1.1255746  -0.3777692   0.12013969   0.22427958  -0.00064007   0.02694447
4.3650335  0.4045004   0.12491465   0.22456247   0.00117264   0.02804977
3.3378527  0.3010659   0.10739759   0.23156078  -0.00321599   0.02485873
4.6221724  -0.8896710   0.22993067   0.25739035   0.00064252   0.05918152
2.2854733  0.3655392   0.12110637   0.23435034  -0.00172037   0.02837836
6.2423337  -0.7379061   0.19819045   0.24727979   0.00210128   0.04900408
3.5933256  -0.2450576   0.10000098   0.23029613  -0.00034712   0.02302972
2.3067221  -0.1776803   0.08665223   0.22782099  -0.00409737   0.01972441
6.0705847  1.1438586   0.25074396   0.26157251  -0.00042001   0.06558755
5.7878997  0.3453123   0.11132211   0.23296529   0.00316135   0.02592419
0.3090248  0.8161449   0.21762063   0.24892388  -0.00245096   0.05416496
5.8930142  0.8519340   0.21569148   0.25016424   0.00146368   0.05395615
0.6427414  -0.0441338   0.08107240   0.22535017   0.00140059   0.01826772
3.1929512  0.3507161   0.11600384   0.23384932  -0.00309075   0.02711787
4.5601479  -0.6454297   0.18325341   0.24623109   0.00033976   0.04512257
1.3216426  -1.4996373   0.26182133   0.26725599  -0.00084698   0.06997260
0.6447390  0.4360317   0.13741514   0.23501088   0.00003690   0.03229405
1.0060427  -0.9626698   0.23435523   0.24613665  -0.00099456   0.05768242
1.8257868  0.6443450   0.18410540   0.24483338  -0.00190376   0.04507152
4.0590455  -0.9870051   0.24567007   0.25731021  -0.00235548   0.06320787
0.9405087  0.8594021   0.22754176   0.25293237   0.00198863   0.05754872
2.6726328  0.4920245   0.14678003   0.23927329  -0.00075557   0.03511997
2.1458132  -0.2356986   0.09381393   0.22670799  -0.00424306   0.02125037
4.0810554  -0.4183152   0.13314930   0.23465945  -0.00060737   0.03124437
3.3299307  -0.4302221   0.13281913   0.23598514   0.00072701   0.03134281
0.8945675  -0.6912678   0.18928757   0.23501559   0.00046534   0.04448531
0.9660793  0.4143687   0.13218242   0.23455852   0.00059618   0.03100416
5.4937696  0.1557401   0.08443946   0.22809112   0.00399175   0.01924396
