%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@L1config.txt'
%% columns:
%% Alpha   Delta        A_L1         B_L1         C_L1         D_L1
3.7741140  -0.1696188   0.24921630   0.18858220   0.00340189   0.04698619
1.2304909  1.2285906   0.17931539   0.17950600   0.00203268   0.03218406
5.0345460  -0.6436144   0.21068780   0.18677908   0.00267603   0.03934491
0.2049913  -0.6409245   0.21263789   0.18531254   0.00251240   0.03939815
3.5741064  -0.2979099   0.23941207   0.18881629   0.00326296   0.04519425
5.2153837  1.2990682   0.17420615   0.17245780  -0.00065942   0.03004277
2.9636939  0.0226276   0.24783957   0.19149107  -0.00228300   0.04745385
1.1443304  0.7366504   0.20524374   0.18511489  -0.00021927   0.03799362
2.7041001  0.0801626   0.24641587   0.19103168  -0.00397177   0.04705746
4.0989115  -0.7300110   0.20632945   0.18415920   0.00091389   0.03799663
1.8562753  0.5885250   0.21533586   0.18726796  -0.00294873   0.04031681
5.5918427  -0.9052492   0.19208039   0.18166155   0.00034006   0.03489351
1.2611668  0.1386266   0.24904536   0.18643014  -0.00519732   0.04640255
2.1068690  1.0427705   0.18557817   0.18036078  -0.00149065   0.03346880
1.3223733  -0.6890348   0.20398423   0.17648573  -0.00453256   0.03597976
3.8535420  -1.0049282   0.18874910   0.17911036   0.00114472   0.03380561
1.8751790  0.0121272   0.24638213   0.18633690  -0.00726484   0.04585731
4.5281007  0.5789627   0.21330994   0.17770229   0.00554797   0.03787489
2.3268987  0.6244029   0.21283808   0.18615653  -0.00236853   0.03961559
5.4323114  0.7516264   0.19079615   0.17814773   0.00398072   0.03397406
1.9740664  -0.1031742   0.24325311   0.18569565  -0.00763314   0.04511278
0.7424138  -0.8075203   0.19926874   0.17745082   0.00044901   0.03536020
2.2817750  0.5067729   0.22273143   0.18754669  -0.00328343   0.04176176
2.9786978  0.1958678   0.24532574   0.19120219  -0.00261928   0.04689996
6.0928389  0.8646328   0.18446763   0.18182597  -0.00049520   0.03354076
4.7421545  0.4809009   0.21959722   0.17900285   0.00685009   0.03926160
1.2094586  0.5226674   0.22313072   0.18693827  -0.00200082   0.04170767
5.8567803  -0.0102056   0.24619554   0.19096236   0.00391847   0.04699873
0.4560773  0.3109056   0.23868540   0.18863694  -0.00337404   0.04501350
1.1255746  -0.3777692   0.23538242   0.18117262  -0.00487022   0.04262113
4.3650335  0.4045004   0.23183785   0.18037117   0.00549613   0.04178666
3.3378527  0.3010659   0.24237539   0.18944867  -0.00156221   0.04591525
4.6221724  -0.8896710   0.19256255   0.18519032  -0.00010242   0.03566071
2.2854733  0.3655392   0.23370942   0.18870592  -0.00429222   0.04408393
6.2423337  -0.7379061   0.20265777   0.18525639   0.00187260   0.03754014
3.5933256  -0.2450576   0.24339235   0.18908396   0.00311110   0.04601191
2.3067221  -0.1776803   0.23847364   0.18724759  -0.00657204   0.04461042
6.0705847  1.1438586   0.17459621   0.17810668   0.00017847   0.03109672
5.7878997  0.3453123   0.22601262   0.18769619   0.00376355   0.04240754
0.3090248  0.8161449   0.19424680   0.18265057  -0.00367459   0.03546579
5.8930142  0.8519340   0.18416388   0.18059158   0.00126510   0.03325685
0.6427414  -0.0441338   0.25419259   0.18814874  -0.00261209   0.04781919
3.1929512  0.3507161   0.23786621   0.18971892  -0.00222080   0.04512279
4.5601479  -0.6454297   0.21137755   0.18701227   0.00119002   0.03952878
1.3216426  -1.4996373   0.17293480   0.17530543  -0.00144971   0.03031431
0.6447390  0.4360317   0.23021145   0.18703043  -0.00361172   0.04304350
1.0060427  -0.9626698   0.18696199   0.17416970  -0.00140329   0.03256115
1.8257868  0.6443450   0.21057700   0.18695296  -0.00254200   0.03936153
4.0590455  -0.9870051   0.18994860   0.18031475  -0.00042938   0.03425035
0.9405087  0.8594021   0.19710335   0.18234357  -0.00013792   0.03594051
2.6726328  0.4920245   0.22430015   0.18844564  -0.00254873   0.04226189
2.1458132  -0.2356986   0.23522045   0.18527776  -0.00728897   0.04352799
4.0810554  -0.4183152   0.23285212   0.18692543   0.00311262   0.04351629
3.3299307  -0.4302221   0.22493340   0.18828832   0.00278889   0.04234455
0.8945675  -0.6912678   0.20868340   0.17801487  -0.00133966   0.03714695
0.9660793  0.4143687   0.23316106   0.18695299  -0.00309538   0.04358058
5.4937696  0.1557401   0.23966108   0.18782493   0.00631687   0.04497442
3.4058026  0.3061946   0.24250987   0.18897794  -0.00129361   0.04582734
5.3330664  0.9169721   0.18149932   0.17511362   0.00267991   0.03177582
2.3270546  -0.8331147   0.18547700   0.17710945  -0.00329338   0.03283888
5.8386305  0.2111949   0.23675810   0.18952318   0.00371184   0.04485737
5.4345072  0.0990051   0.24243017   0.18795069   0.00658349   0.04552157
1.3677146  -0.8643203   0.18930262   0.17487101  -0.00347084   0.03309149
5.9604161  -0.8525185   0.19382225   0.18348628   0.00028986   0.03556364
4.9651401  -0.4896410   0.22376983   0.18777864   0.00359549   0.04200627
5.5041355  0.2850746   0.23091358   0.18634978   0.00612922   0.04299313
1.2129564  -0.5042660   0.22289127   0.17903273  -0.00496902   0.03988014
3.8228273  0.4335827   0.23386028   0.18379578   0.00066075   0.04298210
0.9000987  -0.6769158   0.20996955   0.17818892  -0.00145335   0.03741214
