%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@L1config.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
4.4346531  -0.7981210  1369560400  -0.02923964  -0.33406198
4.4346531  -0.7981210  1369574800   0.75368559  -0.28747076
4.4346531  -0.7981210  1369589200   0.53854644   0.77474797
4.4346531  -0.7981210  1369603600  -0.42474064   0.31333643
4.4346531  -0.7981210  1369618000   0.15674496  -0.43727893
4.4346531  -0.7981210  1369632400   0.32693309  -0.02935372
4.4346531  -0.7981210  1369646800  -0.02475686  -0.34383857
4.4346531  -0.7981210  1369661200   0.76575077  -0.27249739
4.4346531  -0.7981210  1369675600   0.51993585   0.78392428
4.4346531  -0.7981210  1369690000  -0.42799607   0.29396710
4.4346531  -0.7981210  1369704400   0.17064929  -0.43656904
4.4346531  -0.7981210  1369718800   0.31818092  -0.02519887
4.4346531  -0.7981210  1369733200  -0.01980563  -0.35349628
4.4346531  -0.7981210  1369747600   0.77743936  -0.25712952
4.4346531  -0.7981210  1369762000   0.50105953   0.79253453
4.4346531  -0.7981210  1369776400  -0.43066505   0.27453506
4.4346531  -0.7981210  1369790800   0.18434578  -0.43541813
4.4346531  -0.7981210  1369805200   0.30922553  -0.02137736
4.4346531  -0.7981210  1369819600  -0.01438719  -0.36301818
4.4346531  -0.7981210  1369834000   0.78873742  -0.24137853
4.4346531  -0.7981210  1369848400   0.48193595   0.80057037
4.4346531  -0.7981210  1369862800  -0.43274757   0.25505975
4.4346531  -0.7981210  1369877200   0.19782048  -0.43383566
5.8152493  -0.4165243  1368970000   0.21766704  -0.35867089
5.8152493  -0.4165243  1368984400   0.47672740  -0.37620676
5.8152493  -0.4165243  1368998800   0.88032722   0.43312228
5.8152493  -0.4165243  1369013200   0.10073560   0.72613621
5.8152493  -0.4165243  1369027600   0.04473338  -0.07754022
5.8152493  -0.4165243  1369042000   0.55627424  -0.35166872
5.8152493  -0.4165243  1369056400   0.21239202  -0.36153600
5.8152493  -0.4165243  1369070800   0.48890108  -0.36965588
5.8152493  -0.4165243  1369085200   0.87537241   0.44804460
5.8152493  -0.4165243  1369099600   0.08804092   0.71822572
5.8152493  -0.4165243  1369114000   0.05494940  -0.08950263
5.8152493  -0.4165243  1369128400   0.55665457  -0.35039151
5.8152493  -0.4165243  1369142800   0.20736678  -0.36445439
5.8152493  -0.4165243  1369157200   0.50113833  -0.36279184
5.8152493  -0.4165243  1369171600   0.86996949   0.46278998
5.8152493  -0.4165243  1369186000   0.07563609   0.70994592
5.8152493  -0.4165243  1369200400   0.06535345  -0.10123655
5.8152493  -0.4165243  1369214800   0.55668581  -0.34905761
5.8152493  -0.4165243  1369229200   0.20260048  -0.36742023
5.8152493  -0.4165243  1369243600   0.51342762  -0.35561785
5.8152493  -0.4165243  1369258000   0.86412227   0.47734728
5.8152493  -0.4165243  1369272400   0.06353474   0.70129967
5.8152493  -0.4165243  1369286800   0.07593311  -0.11273664
5.8152493  -0.4165243  1369301200   0.55637026  -0.34767455
5.8152493  -0.4165243  1369315600   0.19810197  -0.37042791
5.8152493  -0.4165243  1369330000   0.52575463  -0.34813422
5.8152493  -0.4165243  1369344400   0.85783911   0.49170643
5.8152493  -0.4165243  1369358800   0.05174607   0.69229823
5.8152493  -0.4165243  1369373200   0.08667520  -0.12399507
5.8152493  -0.4165243  1369387600   0.55570829  -0.34624884
5.8152493  -0.4165243  1369402000   0.19387995  -0.37347111
5.8152493  -0.4165243  1369416400   0.53810626  -0.34034115
